RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,1,15,99.757,SOFT,1.0,1,,,26.8,31.4,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,2,15,91.71,SOFT,2.0,1,,,26.8,31.5,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,3,15,90.224,SOFT,3.0,1,,,26.8,31.4,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,4,15,90.874,SOFT,4.0,1,,,26.8,31.3,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,5,15,90.314,SOFT,5.0,1,,,26.8,31.4,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,6,15,90.223,SOFT,6.0,1,,,26.7,31.5,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,7,15,90.42,SOFT,7.0,1,,,26.7,31.5,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,8,17,91.974,SOFT,8.0,1,,,26.7,31.4,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,9,20,109.36,HARD,1.0,2,,,26.7,31.4,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,10,20,89.374,HARD,2.0,2,,,26.7,31.3,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,11,20,89.807,HARD,3.0,2,,,26.7,31.3,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,12,20,89.46,HARD,4.0,2,,,26.7,31.2,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,13,20,89.692,HARD,5.0,2,,,26.7,31.2,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,14,19,89.793,HARD,6.0,2,,,26.6,31.1,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,15,17,89.819,HARD,7.0,2,,,26.6,30.8,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,16,16,89.907,HARD,8.0,2,,,26.5,30.9,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,17,16,90.133,HARD,9.0,2,,,26.5,30.6,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,18,16,89.987,HARD,10.0,2,,,26.5,30.7,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,19,15,90.047,HARD,11.0,2,,,26.5,30.5,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,20,14,90.109,HARD,12.0,2,,,26.4,30.5,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,21,14,90.27,HARD,13.0,2,,,26.4,30.3,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,22,13,90.298,HARD,14.0,2,,,26.4,30.6,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,23,13,90.621,HARD,15.0,2,,,26.4,30.4,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,24,13,90.388,HARD,16.0,2,,,26.4,30.3,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,25,14,90.934,HARD,17.0,2,,,26.3,30.2,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,26,14,90.294,HARD,18.0,2,,,26.3,30.2,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,27,14,90.113,HARD,19.0,2,,,26.3,30.1,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,28,15,91.014,HARD,20.0,2,,,26.3,30.3,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,29,15,90.422,HARD,21.0,2,,,26.3,29.9,False,True,
ABU25,2025,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,30,15,90.215,HARD,22.0,2,,,26.3,30.1,False,True,
