RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,1,12,118.185,MEDIUM,1.0,1,,,25.0,43.3,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,2,12,109.728,MEDIUM,2.0,1,,,25.0,43.1,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,3,12,108.815,MEDIUM,3.0,1,,,25.0,43.1,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,4,12,109.004,MEDIUM,4.0,1,,,24.9,43.0,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,5,12,108.689,MEDIUM,5.0,1,,,25.0,43.3,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,6,12,108.53,MEDIUM,6.0,1,,,24.8,42.3,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,7,14,112.993,MEDIUM,7.0,1,,0 days 01:15:56.666000,24.8,41.7,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,8,18,126.167,HARD,1.0,2,0 days 01:16:17.744000,,25.0,42.0,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,9,17,107.968,HARD,2.0,2,,,25.0,42.4,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,10,16,120.959,HARD,3.0,2,,,25.2,42.6,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,11,15,149.002,HARD,4.0,2,,,25.0,40.9,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,12,15,135.098,HARD,5.0,2,,,24.8,41.0,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,13,15,148.547,HARD,6.0,2,,,25.0,41.7,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,14,14,112.578,HARD,7.0,2,,,25.1,42.8,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,15,14,108.928,HARD,8.0,2,,,25.0,43.0,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,16,14,108.111,HARD,9.0,2,,,25.0,42.5,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,17,14,107.727,HARD,10.0,2,,,25.1,42.6,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,18,14,107.982,HARD,11.0,2,,,25.1,42.0,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,19,14,107.776,HARD,12.0,2,,,25.2,41.2,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,20,14,107.693,HARD,13.0,2,,,25.4,41.0,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,21,14,108.151,HARD,14.0,2,,,25.4,40.8,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,22,14,107.986,HARD,15.0,2,,,25.4,41.4,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,23,14,107.949,HARD,16.0,2,,,25.4,40.3,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,24,14,108.076,HARD,17.0,2,,,25.3,40.9,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,25,14,108.114,HARD,18.0,2,,,25.4,40.5,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,26,14,107.911,HARD,19.0,2,,,25.5,40.5,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,27,14,107.77,HARD,20.0,2,,,25.5,40.5,False,True,
AZE23,2023,Azerbaijan Grand Prix,Baku,ALB,Williams,28,14,108.057,HARD,21.0,2,,,25.6,41.3,False,True,
