RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,1,10,120.359,SOFT,1.0,1,,,18.0,28.6,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,2,9,114.821,SOFT,2.0,1,,,18.0,29.0,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,3,9,113.907,SOFT,3.0,1,,,18.1,30.1,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,4,8,115.004,SOFT,4.0,1,,,18.1,30.4,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,5,7,115.653,SOFT,5.0,1,,,18.1,31.4,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,6,7,114.309,SOFT,6.0,1,,,18.1,31.5,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,7,9,118.541,SOFT,7.0,1,,,18.1,30.6,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,8,13,127.31,MEDIUM,1.0,2,,,18.1,30.1,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,9,11,111.937,MEDIUM,2.0,2,,,18.2,29.6,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,10,10,111.774,MEDIUM,3.0,2,,,18.3,29.9,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,11,11,113.93,MEDIUM,4.0,2,,,18.2,29.2,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,12,10,113.815,MEDIUM,5.0,2,,,18.1,28.8,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,13,10,113.705,MEDIUM,6.0,2,,,18.0,28.4,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,14,10,113.822,MEDIUM,7.0,2,,,18.0,28.3,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,15,10,114.522,MEDIUM,8.0,2,,,18.2,28.3,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,16,11,115.068,MEDIUM,9.0,2,,,18.2,28.8,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,17,11,114.996,MEDIUM,10.0,2,,,18.2,28.3,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,18,11,114.701,MEDIUM,11.0,2,,,18.0,27.9,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,19,11,115.183,MEDIUM,12.0,2,,,17.9,27.5,True,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,20,10,116.307,MEDIUM,13.0,2,,,17.7,27.2,True,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,21,10,116.16,MEDIUM,14.0,2,,,17.5,26.0,True,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,22,9,115.435,MEDIUM,15.0,2,,,17.3,25.3,True,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,23,10,119.277,MEDIUM,16.0,2,,,17.1,25.0,True,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,24,15,126.441,MEDIUM,1.0,3,,,17.0,25.0,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,25,12,111.432,MEDIUM,2.0,3,,,16.8,25.6,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,26,10,111.563,MEDIUM,3.0,3,,,16.9,26.1,False,True,
BEL23,2023,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,27,10,111.888,MEDIUM,4.0,3,,,17.0,26.9,False,True,
