RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,1,14,106.629,SOFT,1.0,1,,,27.2,31.9,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,2,14,99.821,SOFT,2.0,1,,,27.1,31.8,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,3,13,98.699,SOFT,3.0,1,,,27.1,31.9,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,4,13,99.056,SOFT,4.0,1,,,27.0,31.6,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,5,13,99.257,SOFT,5.0,1,,,27.0,31.9,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,6,13,99.263,SOFT,6.0,1,,,27.0,31.9,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,7,13,99.565,SOFT,7.0,1,,,27.0,32.0,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,8,12,99.918,SOFT,8.0,1,,,27.0,32.0,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,9,11,99.735,SOFT,9.0,1,,,27.0,31.9,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,10,11,100.089,SOFT,10.0,1,,,27.0,31.7,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,11,8,99.843,SOFT,11.0,1,,,26.9,31.5,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,12,7,99.94,SOFT,12.0,1,,,26.9,31.9,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,13,6,100.144,SOFT,13.0,1,,,26.9,31.9,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,14,4,100.326,SOFT,14.0,1,,,26.9,31.7,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,15,5,100.821,SOFT,15.0,1,,,26.8,31.7,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,16,6,102.382,SOFT,16.0,1,,,26.8,31.2,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,17,16,119.592,HARD,1.0,2,,,26.7,31.2,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,18,16,97.209,HARD,2.0,2,,,26.8,31.1,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,19,16,98.209,HARD,3.0,2,,,26.7,31.1,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,20,15,97.673,HARD,4.0,2,,,26.7,31.0,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,21,15,98.047,HARD,5.0,2,,,26.7,31.2,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,22,15,98.474,HARD,6.0,2,,,26.7,31.2,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,23,14,97.884,HARD,7.0,2,,,26.7,31.1,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,24,14,98.023,HARD,8.0,2,,,26.7,31.1,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,25,14,98.591,HARD,9.0,2,,,26.7,31.1,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,26,14,98.698,HARD,10.0,2,,,26.7,30.8,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,27,13,98.707,HARD,11.0,2,,,26.7,30.9,False,True,
BHR25,2025,Bahrain Grand Prix,Sakhir,ALB,Williams,28,11,98.83,HARD,12.0,2,,,26.7,31.1,False,True,
