RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
BRA23,2023,São Paulo Grand Prix,São Paulo,ALB,Williams,1,,,SOFT,4.0,1,,,20.6,48.5,False,False,Missing Lap Time
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,1,4,127.301,SOFT,4.0,1,,,20.6,47.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,2,4,141.143,SOFT,5.0,2,,,20.5,45.3,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,3,4,,SOFT,4.0,3,,,20.7,49.1,False,False,Missing Lap Time
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,4,3,123.054,SOFT,5.0,3,,,20.9,49.7,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,5,3,76.483,SOFT,6.0,3,,,20.9,49.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,6,3,75.925,SOFT,7.0,3,,,21.0,49.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,7,3,75.972,SOFT,8.0,3,,,21.1,49.6,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,8,3,76.111,SOFT,9.0,3,,,21.1,49.3,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,9,3,76.277,SOFT,10.0,3,,,21.0,49.4,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,10,3,76.25,SOFT,11.0,3,,,21.0,49.4,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,11,3,76.412,SOFT,12.0,3,,,20.9,49.2,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,12,3,76.484,SOFT,13.0,3,,,20.8,49.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,13,3,76.336,SOFT,14.0,3,,,20.6,48.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,14,3,76.341,SOFT,15.0,3,,,20.6,49.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,15,3,76.398,SOFT,16.0,3,,,20.6,48.9,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,16,3,76.388,SOFT,17.0,3,,,20.9,49.0,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,17,3,76.617,SOFT,18.0,3,,,21.0,48.7,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,18,3,76.954,SOFT,19.0,3,,,21.0,48.7,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,19,3,76.51,SOFT,20.0,3,,,20.8,48.9,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,20,3,76.853,SOFT,21.0,3,,,20.6,48.9,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,21,3,76.615,SOFT,22.0,3,,,20.5,48.3,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,22,3,76.5,SOFT,23.0,3,,,20.6,48.3,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,23,3,76.687,SOFT,24.0,3,,,20.5,48.5,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,24,3,77.281,SOFT,25.0,3,,,20.5,48.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,25,3,80.972,SOFT,26.0,3,,,20.5,48.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,26,4,93.588,MEDIUM,1.0,4,,,20.5,48.4,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,27,3,76.331,MEDIUM,2.0,4,,,20.6,48.7,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,28,3,76.202,MEDIUM,3.0,4,,,20.7,48.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,29,3,76.128,MEDIUM,4.0,4,,,20.4,48.4,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,30,3,76.059,MEDIUM,5.0,4,,,20.4,48.0,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,31,3,76.095,MEDIUM,6.0,4,,,20.5,48.0,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,32,3,76.028,MEDIUM,7.0,4,,,20.5,47.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,33,3,75.836,MEDIUM,8.0,4,,,20.3,47.3,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,34,3,75.849,MEDIUM,9.0,4,,,20.3,47.3,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,35,3,75.721,MEDIUM,10.0,4,,,20.2,47.2,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,36,3,75.944,MEDIUM,11.0,4,,,20.3,47.3,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,37,3,75.701,MEDIUM,12.0,4,,,20.4,47.4,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,38,3,75.949,MEDIUM,13.0,4,,,20.5,47.5,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,39,3,76.015,MEDIUM,14.0,4,,,20.5,47.5,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,40,3,76.07,MEDIUM,15.0,4,,,20.4,47.0,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,41,3,76.136,MEDIUM,16.0,4,,,20.5,46.6,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,42,3,76.262,MEDIUM,17.0,4,,,20.5,47.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,43,3,75.773,MEDIUM,18.0,4,,,20.5,46.9,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,44,3,75.836,MEDIUM,19.0,4,,,20.3,47.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,45,3,75.912,MEDIUM,20.0,4,,,20.3,47.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,46,3,75.74,MEDIUM,21.0,4,,,20.3,46.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,47,3,79.763,MEDIUM,22.0,4,,,20.3,46.7,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,48,5,93.326,SOFT,1.0,5,,,20.3,46.2,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,49,5,75.582,SOFT,2.0,5,,,20.2,45.4,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,50,5,75.783,SOFT,3.0,5,,,20.3,43.2,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,51,5,75.39,SOFT,4.0,5,,,20.3,42.5,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,52,4,75.345,SOFT,5.0,5,,,20.3,41.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,53,3,74.796,SOFT,6.0,5,,,20.3,41.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,54,3,74.442,SOFT,7.0,5,,,20.2,40.5,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,55,3,74.695,SOFT,8.0,5,,,20.0,40.0,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,56,3,74.765,SOFT,9.0,5,,,20.0,39.6,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,57,3,74.694,SOFT,10.0,5,,,20.0,39.6,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,58,3,74.523,SOFT,11.0,5,,,19.9,38.7,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,59,3,74.677,SOFT,12.0,5,,,19.9,38.4,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,60,3,74.999,SOFT,13.0,5,,,19.8,38.0,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,61,3,74.912,SOFT,14.0,5,,,19.8,37.9,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,62,3,74.674,SOFT,15.0,5,,,19.9,37.6,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,63,3,74.652,SOFT,16.0,5,,,19.8,37.6,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,64,3,74.517,SOFT,17.0,5,,,19.9,37.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,65,3,74.601,SOFT,18.0,5,,,19.8,37.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,66,3,74.556,SOFT,19.0,5,,,19.7,37.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,67,3,74.526,SOFT,20.0,5,,,19.7,37.0,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,68,3,74.943,SOFT,21.0,5,,,19.7,36.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,69,3,75.011,SOFT,22.0,5,,,19.6,36.6,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,70,4,76.364,SOFT,23.0,5,,,19.8,36.5,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,ALO,Aston Martin,71,3,75.448,SOFT,24.0,5,,,19.8,36.5,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,1,13,142.202,SOFT,1.0,1,,,20.6,47.1,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,2,12,146.231,SOFT,2.0,2,,,20.5,45.3,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,3,12,,SOFT,1.0,3,,,20.8,48.7,False,False,Missing Lap Time
BRA23,2023,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,4,13,81.758,SOFT,2.0,3,,,21.0,50.2,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,5,13,77.774,SOFT,3.0,3,,,20.9,49.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,6,13,77.239,SOFT,4.0,3,,,21.0,49.8,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,7,13,77.161,SOFT,5.0,3,,,21.1,49.6,False,True,
BRA23,2023,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,8,13,76.64,SOFT,6.0,3,,,21.1,49.3,False,True,
