RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,1,12,115.787,INTERMEDIATE,1.0,1,,,16.3,20.7,True,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,2,13,102.91,INTERMEDIATE,2.0,1,,,16.2,20.4,True,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,3,13,99.947,INTERMEDIATE,3.0,1,,,16.2,20.0,True,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,4,13,97.922,INTERMEDIATE,4.0,1,,,16.0,19.9,True,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,5,13,98.077,INTERMEDIATE,5.0,1,,,16.0,20.0,True,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,6,13,95.917,INTERMEDIATE,6.0,1,,,16.0,20.1,True,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,7,13,93.969,INTERMEDIATE,7.0,1,,,16.0,20.5,True,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,8,12,92.963,INTERMEDIATE,8.0,1,,,16.1,23.0,True,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,9,12,92.225,INTERMEDIATE,9.0,1,,,16.5,24.5,False,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,10,12,91.606,INTERMEDIATE,10.0,1,,,16.8,24.8,False,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,11,12,93.286,INTERMEDIATE,11.0,1,,,17.3,25.7,False,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,12,11,93.609,INTERMEDIATE,12.0,1,,,17.4,25.8,False,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,13,11,90.275,INTERMEDIATE,13.0,1,,,17.5,25.9,False,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,14,11,89.832,INTERMEDIATE,14.0,1,,,17.5,26.1,False,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,15,11,89.027,INTERMEDIATE,15.0,1,,,17.7,26.3,False,True,
CAN24,2024,Canadian Grand Prix,Montréal,ALB,Williams,16,11,88.664,INTERMEDIATE,16.0,1,,,17.9,26.3,False,True,
