RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
AUS23,2023,Australian Grand Prix,Melbourne,ALB,Williams,1,6,106.373,MEDIUM,1.0,1,,,17.4,34.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALB,Williams,2,6,130.798,MEDIUM,2.0,1,,,17.6,34.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALB,Williams,3,6,129.355,MEDIUM,3.0,1,,,17.8,34.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALB,Williams,4,6,84.327,MEDIUM,4.0,1,,,17.8,34.3,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALB,Williams,5,6,83.639,MEDIUM,5.0,1,,,17.7,33.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALB,Williams,6,6,83.349,MEDIUM,6.0,1,,,17.8,33.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALB,Williams,7,,,MEDIUM,7.0,1,,,17.7,33.2,False,False,Missing Lap Time
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,1,5,105.543,MEDIUM,2.0,1,,,17.4,34.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,2,5,130.728,MEDIUM,3.0,1,,,17.6,34.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,3,5,129.502,MEDIUM,4.0,1,,,17.8,34.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,4,5,84.293,MEDIUM,5.0,1,,,17.8,34.3,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,5,5,83.29,MEDIUM,6.0,1,,,17.7,33.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,6,5,82.603,MEDIUM,7.0,1,,,17.8,33.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,7,3,95.355,MEDIUM,8.0,1,,,17.8,33.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,8,3,,MEDIUM,9.0,1,,0 days 01:16:46.884000,17.6,32.9,False,False,Missing Lap Time
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,9,3,,HARD,1.0,2,0 days 01:32:13.905000,,17.9,32.8,False,False,Missing Lap Time
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,10,3,88.668,HARD,2.0,2,,,18.0,33.1,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,11,3,84.644,HARD,3.0,2,,,18.0,33.0,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,12,3,83.321,HARD,4.0,2,,,18.0,33.0,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,13,3,83.634,HARD,5.0,2,,,18.0,32.8,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,14,3,83.424,HARD,6.0,2,,,18.0,32.8,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,15,3,83.008,HARD,7.0,2,,,18.0,32.5,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,16,3,82.26,HARD,8.0,2,,,18.1,32.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,17,3,82.261,HARD,9.0,2,,,17.9,32.1,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,18,3,101.221,HARD,10.0,2,,,18.0,32.3,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,19,3,102.386,HARD,11.0,2,,,17.9,32.0,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,20,3,82.913,HARD,12.0,2,,,17.9,31.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,21,3,82.921,HARD,13.0,2,,,17.9,31.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,22,3,83.054,HARD,14.0,2,,,17.8,31.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,23,3,83.087,HARD,15.0,2,,,17.8,31.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,24,3,82.885,HARD,16.0,2,,,17.8,31.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,25,3,82.934,HARD,17.0,2,,,17.7,31.6,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,26,3,82.325,HARD,18.0,2,,,17.7,31.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,27,3,82.354,HARD,19.0,2,,,17.8,31.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,28,3,81.901,HARD,20.0,2,,,17.7,31.1,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,29,3,82.029,HARD,21.0,2,,,17.8,31.0,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,30,3,81.932,HARD,22.0,2,,,17.8,31.0,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,31,3,82.456,HARD,23.0,2,,,17.9,30.9,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,32,3,82.098,HARD,24.0,2,,,17.9,30.8,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,33,3,81.991,HARD,25.0,2,,,18.0,30.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,34,3,82.021,HARD,26.0,2,,,17.9,30.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,35,3,81.728,HARD,27.0,2,,,17.9,30.6,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,36,3,81.687,HARD,28.0,2,,,17.8,30.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,37,3,81.573,HARD,29.0,2,,,17.8,30.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,38,3,81.716,HARD,30.0,2,,,17.9,30.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,39,3,81.654,HARD,31.0,2,,,17.8,30.1,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,40,3,81.694,HARD,32.0,2,,,17.6,29.9,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,41,3,81.37,HARD,33.0,2,,,17.6,29.9,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,42,3,81.284,HARD,34.0,2,,,17.6,29.9,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,43,3,81.206,HARD,35.0,2,,,17.6,29.6,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,44,3,80.959,HARD,36.0,2,,,17.6,29.6,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,45,3,81.063,HARD,37.0,2,,,17.5,29.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,46,3,80.69,HARD,38.0,2,,,17.5,29.4,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,47,3,81.031,HARD,39.0,2,,,17.5,29.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,48,3,81.118,HARD,40.0,2,,,17.5,29.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,49,3,80.734,HARD,41.0,2,,,17.5,29.2,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,50,3,80.723,HARD,42.0,2,,,17.5,29.1,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,51,3,80.904,HARD,43.0,2,,,17.5,29.0,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,52,3,80.516,HARD,44.0,2,,,17.5,28.7,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,53,3,80.476,HARD,45.0,2,,,17.5,28.9,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,54,3,95.066,HARD,46.0,2,,,17.5,28.9,False,True,
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,55,3,,HARD,47.0,2,,0 days 02:40:41.185000,17.2,27.2,False,False,Missing Lap Time
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,56,3,,SOFT,5.0,3,0 days 02:55:15.488000,,17.2,27.2,False,False,Missing Lap Time
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,57,3,,SOFT,6.0,3,,0 days 03:01:26.171000,16.9,24.3,False,False,Missing Lap Time
AUS23,2023,Australian Grand Prix,Melbourne,ALO,Aston Martin,58,3,,SOFT,5.0,4,0 days 03:32:11.291000,,16.9,24.0,False,False,Missing Lap Time
