RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,1,7,122.604,MEDIUM,1.0,1,,,21.8,36.9,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,2,7,138.752,MEDIUM,2.0,1,,,21.9,36.6,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,3,7,,MEDIUM,3.0,1,,,22.0,36.6,False,False,Missing Lap Time
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,4,7,,MEDIUM,4.0,1,,,22.0,36.9,False,False,Missing Lap Time
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,5,8,115.429,MEDIUM,5.0,1,,,21.9,36.4,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,6,7,114.61,MEDIUM,6.0,1,,,21.9,36.4,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,7,7,114.705,MEDIUM,7.0,1,,,21.9,36.1,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,8,7,115.328,MEDIUM,8.0,1,,,22.1,36.9,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,9,7,116.42,MEDIUM,9.0,1,,,22.2,36.9,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,10,11,121.128,MEDIUM,10.0,1,,0 days 01:24:41.502000,22.1,36.6,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,11,17,129.727,HARD,1.0,2,0 days 01:25:04.836000,,21.8,35.7,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,12,16,113.956,HARD,2.0,2,,,22.0,34.9,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,13,14,115.027,HARD,3.0,2,,,22.0,35.7,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,14,12,115.335,HARD,4.0,2,,,22.2,36.2,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,15,9,114.516,HARD,5.0,2,,,22.1,36.0,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,16,8,114.63,HARD,6.0,2,,,22.3,35.3,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,17,9,115.459,HARD,7.0,2,,,22.2,35.6,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,18,8,115.06,HARD,8.0,2,,,22.2,36.6,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,19,8,115.534,HARD,9.0,2,,,22.4,36.7,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,20,9,116.255,HARD,10.0,2,,,22.4,36.8,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,21,9,115.742,HARD,11.0,2,,,22.4,36.8,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,22,9,115.649,HARD,12.0,2,,,22.2,36.8,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,23,9,115.912,HARD,13.0,2,,,22.1,36.8,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,24,9,116.102,HARD,14.0,2,,,22.1,36.7,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,25,9,116.118,HARD,15.0,2,,,22.1,36.9,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,26,11,120.055,HARD,16.0,2,,0 days 01:55:46.581000,22.2,36.6,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,27,16,128.062,MEDIUM,1.0,3,0 days 01:56:10.981000,,22.4,37.2,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,28,14,113.055,MEDIUM,2.0,3,,,22.4,37.2,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,29,13,114.027,MEDIUM,3.0,3,,,22.1,36.4,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,30,12,114.426,MEDIUM,4.0,3,,,21.9,36.3,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,31,11,114.667,MEDIUM,5.0,3,,,21.9,36.4,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,32,11,113.935,MEDIUM,6.0,3,,,22.0,36.5,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,33,10,113.955,MEDIUM,7.0,3,,,22.2,36.5,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,34,10,113.989,MEDIUM,8.0,3,,,22.4,36.4,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,35,10,114.044,MEDIUM,9.0,3,,,22.4,36.5,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,36,10,114.348,MEDIUM,10.0,3,,,22.5,36.6,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,37,10,114.253,MEDIUM,11.0,3,,,22.3,36.4,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,38,10,114.234,MEDIUM,12.0,3,,,22.4,36.4,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,39,10,114.189,MEDIUM,13.0,3,,,22.3,36.5,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,40,10,114.091,MEDIUM,14.0,3,,,22.4,36.6,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,41,10,114.512,MEDIUM,15.0,3,,,22.1,35.5,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,42,10,114.711,MEDIUM,16.0,3,,,22.0,34.7,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,43,10,114.46,MEDIUM,17.0,3,,,21.9,34.0,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALB,Williams,44,10,114.256,MEDIUM,18.0,3,,,22.0,34.8,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALO,Alpine,1,4,119.705,MEDIUM,1.0,1,,,21.8,36.9,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALO,Alpine,2,4,135.896,MEDIUM,2.0,1,,,21.9,36.6,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALO,Alpine,3,4,,MEDIUM,3.0,1,,,22.0,36.6,False,False,Missing Lap Time
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALO,Alpine,4,4,,MEDIUM,4.0,1,,,22.0,36.9,False,False,Missing Lap Time
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALO,Alpine,5,4,114.347,MEDIUM,5.0,1,,,21.9,36.4,False,True,
BEL22,2022,Belgian Grand Prix,Spa-Francorchamps,ALO,Alpine,6,4,114.275,MEDIUM,6.0,1,,,21.9,36.4,False,True,
