RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,1,11,103.888,SOFT,1.0,1,,,18.3,23.8,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,2,11,98.826,SOFT,2.0,1,,,18.3,23.8,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,3,11,98.507,SOFT,3.0,1,,,18.3,23.7,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,4,11,98.422,SOFT,4.0,1,,,18.3,23.6,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,5,11,98.509,SOFT,5.0,1,,,18.3,23.5,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,6,11,98.575,SOFT,6.0,1,,,18.3,23.5,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,7,11,98.971,SOFT,7.0,1,,,18.3,23.7,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,8,11,98.66,SOFT,8.0,1,,,18.2,23.5,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,9,11,98.652,SOFT,9.0,1,,,18.2,23.5,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,10,11,98.952,SOFT,10.0,1,,,18.2,23.5,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,11,11,98.835,SOFT,11.0,1,,,18.2,23.5,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,12,9,98.934,SOFT,12.0,1,,,18.3,23.5,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,13,6,98.823,SOFT,13.0,1,,,18.2,23.4,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,14,5,98.977,SOFT,14.0,1,,,18.1,23.5,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,15,5,101.171,SOFT,15.0,1,,0 days 01:24:47.139000,18.1,23.2,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,16,15,119.341,HARD,1.0,2,0 days 01:25:11.918000,,18.1,23.4,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,17,14,97.392,HARD,2.0,2,,,18.1,23.4,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,18,14,97.59,HARD,3.0,2,,,18.1,23.3,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,19,14,97.763,HARD,4.0,2,,,18.1,23.3,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,20,14,97.701,HARD,5.0,2,,,18.1,23.1,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,21,14,97.918,HARD,6.0,2,,,18.1,23.2,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,22,14,98.031,HARD,7.0,2,,,18.1,23.2,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,23,14,97.869,HARD,8.0,2,,,18.1,23.0,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,24,14,98.204,HARD,9.0,2,,,18.1,23.0,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,25,14,98.226,HARD,10.0,2,,,18.1,22.9,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,26,14,98.1,HARD,11.0,2,,,18.1,22.9,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,27,14,98.296,HARD,12.0,2,,,18.1,22.8,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,28,13,98.048,HARD,13.0,2,,,18.1,22.8,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,29,12,97.879,HARD,14.0,2,,,18.0,22.7,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,30,12,97.968,HARD,15.0,2,,,18.0,22.6,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,31,12,98.135,HARD,16.0,2,,,18.0,22.7,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,32,11,98.183,HARD,17.0,2,,,18.0,22.7,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,33,11,98.346,HARD,18.0,2,,,18.0,22.7,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,34,11,97.75,HARD,19.0,2,,,18.0,22.7,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,35,10,97.767,HARD,20.0,2,,,18.0,22.6,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,36,10,100.333,HARD,21.0,2,,0 days 01:59:27.973000,18.0,22.6,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,37,16,117.632,HARD,1.0,3,0 days 01:59:52.655000,,17.9,22.6,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,38,16,96.129,HARD,2.0,3,,,17.9,22.4,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,39,16,95.856,HARD,3.0,3,,,17.9,22.4,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,40,16,95.723,HARD,4.0,3,,,17.9,22.3,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,41,16,95.885,HARD,5.0,3,,,17.9,22.4,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,42,15,95.799,HARD,6.0,3,,,17.9,22.2,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,43,15,95.766,HARD,7.0,3,,,17.9,22.2,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,44,15,95.783,HARD,8.0,3,,,17.9,22.1,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,45,15,95.758,HARD,9.0,3,,,17.8,22.0,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,46,15,96.008,HARD,10.0,3,,,17.8,21.9,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,47,15,96.026,HARD,11.0,3,,,17.8,21.9,False,True,
BHR24,2024,Bahrain Grand Prix,Sakhir,ALB,Williams,48,15,96.135,HARD,12.0,3,,,17.7,22.0,False,True,
