RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,1,5,112.364,MEDIUM,1.0,1,,,18.0,18.3,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,2,5,130.827,MEDIUM,2.0,1,,,18.0,18.3,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,3,5,110.764,MEDIUM,3.0,1,,,18.1,18.3,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,4,5,,MEDIUM,4.0,1,,,18.1,18.2,False,False,Missing Lap Time
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,5,5,,MEDIUM,5.0,1,,,18.0,18.2,False,False,Missing Lap Time
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,6,5,,MEDIUM,6.0,1,,,18.0,18.1,False,False,Missing Lap Time
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,7,5,102.484,MEDIUM,7.0,1,,,18.0,18.2,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,8,5,100.682,MEDIUM,8.0,1,,,18.1,18.1,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,9,5,100.37,MEDIUM,9.0,1,,,18.1,18.1,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,10,5,100.097,MEDIUM,10.0,1,,,18.1,17.9,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,11,5,99.964,MEDIUM,11.0,1,,,18.1,17.8,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,12,5,99.283,MEDIUM,12.0,1,,,18.1,17.8,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,13,5,99.733,MEDIUM,13.0,1,,,18.2,17.9,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,14,5,100.042,MEDIUM,14.0,1,,,18.2,17.9,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,15,5,100.515,MEDIUM,15.0,1,,,18.2,17.9,False,True,
LAS23,2023,Las Vegas Grand Prix,Las Vegas,ALB,Williams,16,7,105.842,MEDIUM,16.0,1,,0 days 00:45:15.322000,18.1,17.9,False,True,
