RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,1,16,135.384,MEDIUM,1.0,1,,,19.1,23.0,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,2,16,146.296,MEDIUM,2.0,1,,,19.1,23.0,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,3,16,137.47,MEDIUM,3.0,1,,,19.0,23.0,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,4,16,129.827,MEDIUM,4.0,1,,,19.0,23.0,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,5,15,91.146,MEDIUM,5.0,1,,,19.0,22.9,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,6,15,89.921,MEDIUM,6.0,1,,,19.0,22.9,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,7,15,88.528,MEDIUM,7.0,1,,,19.0,22.9,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,8,15,88.499,MEDIUM,8.0,1,,,19.0,22.9,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,9,15,88.038,MEDIUM,9.0,1,,,19.0,22.9,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,10,15,87.781,MEDIUM,10.0,1,,,19.0,22.7,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,11,15,89.252,MEDIUM,11.0,1,,,19.0,22.7,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,12,15,87.299,MEDIUM,12.0,1,,,19.0,22.6,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,13,15,87.771,MEDIUM,13.0,1,,,19.0,22.7,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,14,15,87.525,MEDIUM,14.0,1,,,19.0,22.7,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,15,15,87.793,MEDIUM,15.0,1,,,18.9,22.7,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,16,15,87.6,MEDIUM,16.0,1,,,18.9,22.5,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,17,15,87.556,MEDIUM,17.0,1,,,18.9,22.6,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,18,15,87.321,MEDIUM,18.0,1,,,18.9,22.5,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,19,15,87.428,MEDIUM,19.0,1,,,18.9,22.5,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,20,15,87.347,MEDIUM,20.0,1,,,18.8,22.5,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,21,15,87.42,MEDIUM,21.0,1,,,18.8,22.7,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,22,15,87.133,MEDIUM,22.0,1,,,18.8,22.7,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,23,15,86.951,MEDIUM,23.0,1,,,18.8,22.6,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,24,15,86.968,MEDIUM,24.0,1,,,18.8,22.6,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,25,14,86.998,MEDIUM,25.0,1,,,18.8,22.5,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,26,14,86.774,MEDIUM,26.0,1,,,18.7,22.5,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,27,14,86.663,MEDIUM,27.0,1,,,18.7,22.3,False,True,
QAT24,2024,Qatar Grand Prix,Lusail,ALB,Williams,28,13,86.553,MEDIUM,28.0,1,,,18.7,22.2,False,True,
