RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,1,9,137.291,MEDIUM,1.0,1,,,28.6,38.4,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,2,9,,MEDIUM,2.0,1,,,28.7,38.1,False,False,Missing Lap Time
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,3,9,,MEDIUM,3.0,1,,,28.9,38.1,False,False,Missing Lap Time
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,4,9,97.386,MEDIUM,4.0,1,,,28.9,38.1,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,5,9,95.606,MEDIUM,5.0,1,,,28.9,38.3,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,6,9,95.148,MEDIUM,6.0,1,,,28.9,38.2,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,7,9,95.373,MEDIUM,7.0,1,,,29.1,38.2,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,8,9,95.217,MEDIUM,8.0,1,,,29.2,38.2,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,9,9,94.921,MEDIUM,9.0,1,,,29.2,38.0,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,10,9,94.892,MEDIUM,10.0,1,,,29.3,38.0,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,11,9,95.004,MEDIUM,11.0,1,,,29.2,37.4,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,12,9,94.904,MEDIUM,12.0,1,,,29.2,37.1,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,13,9,94.917,MEDIUM,13.0,1,,,29.2,37.9,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,14,9,95.407,MEDIUM,14.0,1,,,29.2,37.3,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,15,9,95.241,MEDIUM,15.0,1,,,29.2,37.7,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,16,9,95.042,MEDIUM,16.0,1,,,29.3,37.7,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,17,9,95.295,MEDIUM,17.0,1,,,29.3,37.7,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,18,9,95.444,MEDIUM,18.0,1,,,29.4,37.7,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,19,9,95.896,MEDIUM,19.0,1,,,29.4,37.7,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,20,8,95.854,MEDIUM,20.0,1,,,29.5,38.2,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,21,8,96.443,MEDIUM,21.0,1,,,29.5,37.8,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,22,8,98.088,MEDIUM,22.0,1,,0 days 01:34:58.462000,29.6,38.1,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,23,15,113.604,HARD,1.0,2,0 days 01:35:20.580000,,29.7,38.1,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,24,14,94.686,HARD,2.0,2,,,29.8,37.6,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,25,13,94.623,HARD,3.0,2,,,29.9,37.6,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,26,13,94.46,HARD,4.0,2,,,29.9,37.7,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,27,13,94.067,HARD,5.0,2,,,30.0,37.3,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,28,12,94.532,HARD,6.0,2,,,30.0,37.4,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,29,11,94.231,HARD,7.0,2,,,30.0,37.4,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,30,11,94.185,HARD,8.0,2,,,30.1,37.1,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,31,10,93.923,HARD,9.0,2,,,30.3,36.9,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,32,10,93.781,HARD,10.0,2,,,30.4,36.6,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,33,10,93.93,HARD,11.0,2,,,30.5,36.9,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,34,10,93.79,HARD,12.0,2,,,30.7,37.0,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,35,9,93.819,HARD,13.0,2,,,31.1,37.0,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,36,9,93.738,HARD,14.0,2,,,31.3,36.9,False,True,
SAU25,2025,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,37,9,94.178,HARD,15.0,2,,,31.4,36.6,False,True,
