RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,1,20,116.76,MEDIUM,1.0,1,0 days 00:55:08.635000,,28.9,34.2,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,2,20,102.374,MEDIUM,2.0,1,,,28.9,33.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,3,20,100.171,MEDIUM,3.0,1,,,29.1,34.5,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,4,20,100.091,MEDIUM,4.0,1,,,29.1,34.5,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,5,20,99.142,MEDIUM,5.0,1,,,29.0,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,6,20,100.67,MEDIUM,6.0,1,,,29.1,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,7,20,99.483,MEDIUM,7.0,1,,,29.0,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,8,20,99.48,MEDIUM,8.0,1,,,29.1,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,9,20,99.185,MEDIUM,9.0,1,,,29.1,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,10,20,98.941,MEDIUM,10.0,1,,,29.1,34.2,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,11,20,98.758,MEDIUM,11.0,1,,,29.0,34.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,12,20,99.603,MEDIUM,12.0,1,,,29.0,33.9,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,13,19,100.215,MEDIUM,13.0,1,,,29.0,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,14,18,98.819,MEDIUM,14.0,1,,,29.1,34.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,15,17,99.028,MEDIUM,15.0,1,,,29.1,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,16,17,98.507,MEDIUM,16.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,17,17,98.427,MEDIUM,17.0,1,,,29.2,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,18,17,98.647,MEDIUM,18.0,1,,,29.3,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,19,17,98.389,MEDIUM,19.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,20,17,98.469,MEDIUM,20.0,1,,,29.2,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,21,16,98.668,MEDIUM,21.0,1,,,29.2,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,22,16,98.446,MEDIUM,22.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,23,16,98.445,MEDIUM,23.0,1,,,29.3,33.7,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,24,14,98.64,MEDIUM,24.0,1,,,29.3,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,25,14,97.975,MEDIUM,25.0,1,,,29.3,33.7,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,26,14,99.363,MEDIUM,26.0,1,,,29.2,33.7,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,27,14,98.21,MEDIUM,27.0,1,,,29.2,33.7,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,28,13,97.694,MEDIUM,28.0,1,,,29.2,33.9,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,29,13,97.84,MEDIUM,29.0,1,,,29.2,33.9,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,30,13,97.733,MEDIUM,30.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,31,12,97.831,MEDIUM,31.0,1,,,29.2,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,32,12,98.089,MEDIUM,32.0,1,,,29.2,33.9,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,33,12,98.36,MEDIUM,33.0,1,,,29.2,33.7,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,34,12,98.286,MEDIUM,34.0,1,,,29.1,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,35,12,98.601,MEDIUM,35.0,1,,,29.1,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,36,12,98.579,MEDIUM,36.0,1,,,29.2,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,37,12,98.951,MEDIUM,37.0,1,,,29.2,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,38,11,99.303,MEDIUM,38.0,1,,,29.2,33.7,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,39,11,98.886,MEDIUM,39.0,1,,,29.2,34.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,40,11,98.624,MEDIUM,40.0,1,,,29.3,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,41,11,98.657,MEDIUM,41.0,1,,,29.3,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,42,13,108.02,MEDIUM,42.0,1,,0 days 02:04:32.477000,29.4,33.9,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,43,20,116.997,SOFT,1.0,2,0 days 02:04:58.212000,,29.4,33.9,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,44,19,96.556,SOFT,2.0,2,,,29.4,33.9,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,45,19,95.961,SOFT,3.0,2,,,29.4,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,46,19,96.606,SOFT,4.0,2,,,29.5,33.6,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,47,18,98.313,SOFT,5.0,2,,,29.5,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,48,19,99.502,SOFT,6.0,2,,,29.5,33.5,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,49,18,98.154,SOFT,7.0,2,,,29.4,33.6,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,50,18,100.751,SOFT,8.0,2,,,29.4,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,51,17,98.346,SOFT,9.0,2,,,29.4,33.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,52,16,96.648,SOFT,10.0,2,,,29.3,33.6,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,53,15,95.882,SOFT,11.0,2,,,29.4,33.6,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,54,15,96.848,SOFT,12.0,2,,,29.5,33.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,55,15,98.183,SOFT,13.0,2,,,29.5,33.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,56,15,96.706,SOFT,14.0,2,,,29.5,33.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,57,15,97.719,SOFT,15.0,2,,,29.5,33.5,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,58,14,96.822,SOFT,16.0,2,,,29.4,33.5,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,59,14,95.792,SOFT,17.0,2,,,29.4,33.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,60,14,95.648,SOFT,18.0,2,,,29.4,33.6,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALB,Williams,61,14,95.893,SOFT,19.0,2,,,29.4,33.2,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,1,9,110.169,SOFT,4.0,1,,,28.9,34.2,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,2,9,101.359,SOFT,5.0,1,,,28.9,33.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,3,8,98.983,SOFT,6.0,1,,,28.9,34.2,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,4,8,99.281,SOFT,7.0,1,,,29.1,34.5,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,5,8,98.617,SOFT,8.0,1,,,29.0,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,6,8,98.403,SOFT,9.0,1,,,29.1,33.6,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,7,8,98.371,SOFT,10.0,1,,,29.0,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,8,8,98.523,SOFT,11.0,1,,,29.1,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,9,8,98.36,SOFT,12.0,1,,,29.1,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,10,8,98.275,SOFT,13.0,1,,,29.1,34.2,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,11,8,98.325,SOFT,14.0,1,,,29.0,34.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,12,8,98.42,SOFT,15.0,1,,,29.0,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,13,8,98.431,SOFT,16.0,1,,,29.0,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,14,8,97.773,SOFT,17.0,1,,,29.1,34.3,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,15,8,97.898,SOFT,18.0,1,,,29.1,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,16,8,98.166,SOFT,19.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,17,8,98.082,SOFT,20.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,18,8,98.153,SOFT,21.0,1,,,29.3,34.1,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,19,8,97.839,SOFT,22.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,20,8,98.584,SOFT,23.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,21,8,97.727,SOFT,24.0,1,,,29.2,34.0,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,22,7,97.829,SOFT,25.0,1,,,29.2,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,23,7,98.147,SOFT,26.0,1,,,29.2,33.7,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,24,7,97.965,SOFT,27.0,1,,,29.3,33.8,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,25,6,98.231,SOFT,28.0,1,,,29.3,33.7,False,True,
SIN25,2025,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,26,5,98.487,SOFT,29.0,1,,,29.2,33.7,False,True,
