RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
USA22,2022,United States Grand Prix,Austin,ALB,Williams,1,9,109.136,MEDIUM,1.0,1,,,28.9,34.6,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,2,10,105.35,MEDIUM,2.0,1,,,28.9,34.6,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,3,10,104.781,MEDIUM,3.0,1,,,28.9,34.7,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,4,11,105.143,MEDIUM,4.0,1,,,29.0,34.7,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,5,12,106.242,MEDIUM,5.0,1,,,29.0,34.6,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,6,12,104.688,MEDIUM,6.0,1,,,28.8,34.8,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,7,12,104.585,MEDIUM,7.0,1,,,28.9,35.2,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,8,12,105.814,MEDIUM,8.0,1,,,28.9,35.3,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,9,12,105.035,MEDIUM,9.0,1,,0 days 01:18:30.229000,29.1,35.4,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,10,17,123.1,MEDIUM,1.0,2,0 days 01:18:54.810000,,29.2,35.8,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,11,15,103.014,MEDIUM,2.0,2,,,29.2,36.0,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,12,15,103.462,MEDIUM,3.0,2,,,29.3,36.4,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,13,15,103.969,MEDIUM,4.0,2,,,29.5,36.4,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,14,15,103.818,MEDIUM,5.0,2,,,29.4,36.4,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,15,15,104.384,MEDIUM,6.0,2,,,29.6,36.2,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,16,16,104.931,MEDIUM,7.0,2,,,29.5,36.0,False,True,
USA22,2022,United States Grand Prix,Austin,ALB,Williams,17,15,104.197,MEDIUM,8.0,2,,,29.5,35.4,False,True,
