RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,1,12,112.802,MEDIUM,1.0,1,,,30.5,52.3,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,2,13,102.001,MEDIUM,2.0,1,,,30.4,52.8,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,3,13,100.395,MEDIUM,3.0,1,,,30.3,52.2,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,4,13,100.423,MEDIUM,4.0,1,,,30.3,52.2,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,5,14,101.576,MEDIUM,5.0,1,,,30.3,52.8,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,6,14,100.279,MEDIUM,6.0,1,,,30.4,54.4,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,7,14,100.884,MEDIUM,7.0,1,,,30.3,54.0,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,8,13,100.379,MEDIUM,8.0,1,,,30.6,54.1,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,9,13,100.265,MEDIUM,9.0,1,,,30.6,54.1,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,10,13,100.865,MEDIUM,10.0,1,,,30.5,53.8,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,11,13,101.072,MEDIUM,11.0,1,,,30.3,54.6,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,12,13,100.702,MEDIUM,12.0,1,,,30.3,55.5,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,13,13,101.235,MEDIUM,13.0,1,,,30.1,54.8,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,14,13,101.371,MEDIUM,14.0,1,,,30.2,55.0,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,15,13,100.944,MEDIUM,15.0,1,,,30.3,55.1,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,16,13,101.056,MEDIUM,16.0,1,,,30.4,55.2,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,17,13,101.107,MEDIUM,17.0,1,,,30.3,54.9,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,18,13,136.977,MEDIUM,18.0,1,,,30.1,55.4,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,19,11,139.154,HARD,1.0,2,,,30.2,55.5,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,20,11,136.812,HARD,2.0,2,,,30.3,55.9,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,21,11,100.853,HARD,3.0,2,,,30.5,55.9,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,22,11,101.067,HARD,4.0,2,,,30.5,55.6,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,23,11,100.35,HARD,5.0,2,,,30.4,55.6,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,24,11,99.92,HARD,6.0,2,,,30.6,56.5,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,25,11,99.779,HARD,7.0,2,,,30.4,56.2,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,26,11,99.804,HARD,8.0,2,,,30.4,55.8,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,27,11,99.819,HARD,9.0,2,,,30.2,55.6,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,28,11,100.117,HARD,10.0,2,,,30.1,55.4,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,29,11,99.762,HARD,11.0,2,,,29.9,55.8,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,30,11,99.656,HARD,12.0,2,,,29.9,56.1,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,31,11,99.839,HARD,13.0,2,,,29.9,57.1,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,32,11,99.551,HARD,14.0,2,,,30.1,57.2,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,33,11,100.0,HARD,15.0,2,,,30.1,56.3,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,34,11,99.729,HARD,16.0,2,,,30.4,55.9,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,35,11,100.042,HARD,17.0,2,,,30.3,56.1,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,36,11,100.095,HARD,18.0,2,,,30.3,56.7,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,37,11,99.875,HARD,19.0,2,,,30.2,56.2,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,38,11,100.713,HARD,20.0,2,,,30.0,56.0,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,39,12,101.366,HARD,21.0,2,,,30.0,55.2,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,40,12,100.09,HARD,22.0,2,,,30.1,55.0,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,41,12,99.854,HARD,23.0,2,,,29.9,55.1,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,42,12,99.853,HARD,24.0,2,,,29.9,55.6,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,43,12,99.551,HARD,25.0,2,,,29.8,56.4,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,44,12,99.638,HARD,26.0,2,,,29.7,56.4,False,True,
FRA22,2022,French Grand Prix,Le Castellet,ALB,Williams,45,12,99.449,HARD,27.0,2,,,29.6,56.1,False,True,
