RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,1,16,113.147,MEDIUM,1.0,1,,,18.0,18.2,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,2,17,102.776,MEDIUM,2.0,1,,,18.0,18.0,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,3,17,100.535,MEDIUM,3.0,1,,,18.0,17.9,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,4,16,100.351,MEDIUM,4.0,1,,,17.9,17.8,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,5,16,99.537,MEDIUM,5.0,1,,,17.9,17.7,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,6,16,98.803,MEDIUM,6.0,1,,,17.9,17.7,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,7,16,99.597,MEDIUM,7.0,1,,,17.9,17.6,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,8,16,99.714,MEDIUM,8.0,1,,,17.9,17.6,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,9,18,104.883,MEDIUM,9.0,1,,0 days 01:11:43.570000,17.9,17.6,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,10,19,116.773,HARD,1.0,2,0 days 01:12:05.662000,,17.9,17.6,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,11,19,99.066,HARD,2.0,2,,,17.9,17.7,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,12,17,99.211,HARD,3.0,2,,,17.9,17.5,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,13,16,98.6,HARD,4.0,2,,,17.8,17.5,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,14,16,98.768,HARD,5.0,2,,,17.7,17.5,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,15,14,98.866,HARD,6.0,2,,,17.7,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,16,13,99.506,HARD,7.0,2,,,17.7,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,17,11,100.51,HARD,8.0,2,,,17.6,17.3,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,18,9,98.525,HARD,9.0,2,,,17.6,17.3,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,19,9,98.66,HARD,10.0,2,,,17.6,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,20,9,98.046,HARD,11.0,2,,,17.6,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,21,9,98.008,HARD,12.0,2,,,17.6,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,22,10,99.147,HARD,13.0,2,,,17.6,17.3,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,23,10,99.713,HARD,14.0,2,,,17.6,17.2,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,24,10,100.174,HARD,15.0,2,,,17.5,17.1,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALB,Williams,25,14,109.105,HARD,16.0,2,,0 days 01:38:36.164000,17.6,17.2,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,1,15,112.823,SOFT,1.0,1,,,18.0,18.2,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,2,14,100.592,SOFT,2.0,1,,,18.0,18.0,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,3,14,100.165,SOFT,3.0,1,,,18.0,17.9,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,4,19,105.129,SOFT,4.0,1,,0 days 01:03:23.149000,17.9,17.8,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,5,20,115.61,HARD,2.0,2,0 days 01:03:44.470000,,17.9,17.7,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,6,20,99.777,HARD,3.0,2,,,17.9,17.7,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,7,20,99.233,HARD,4.0,2,,,17.9,17.6,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,8,20,99.614,HARD,5.0,2,,,17.9,17.6,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,9,20,99.125,HARD,6.0,2,,,17.9,17.7,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,10,18,98.935,HARD,7.0,2,,,17.9,17.6,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,11,17,98.578,HARD,8.0,2,,,17.9,17.7,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,12,14,98.615,HARD,9.0,2,,,17.9,17.5,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,13,14,98.437,HARD,10.0,2,,,17.8,17.5,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,14,14,99.368,HARD,11.0,2,,,17.7,17.5,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,15,13,102.232,HARD,12.0,2,,,17.7,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,16,12,101.595,HARD,13.0,2,,,17.7,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,17,10,100.366,HARD,14.0,2,,,17.6,17.3,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,18,10,99.432,HARD,15.0,2,,,17.6,17.3,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,19,11,99.761,HARD,16.0,2,,,17.6,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,20,11,98.612,HARD,17.0,2,,,17.6,17.4,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,21,11,98.989,HARD,18.0,2,,,17.6,17.2,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,22,11,99.515,HARD,19.0,2,,,17.6,17.3,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,23,12,101.065,HARD,20.0,2,,,17.6,17.2,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,24,15,104.985,HARD,21.0,2,,0 days 01:36:56.857000,17.6,17.2,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,25,17,114.074,HARD,2.0,3,0 days 01:37:18.361000,,17.6,17.1,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,26,16,97.924,HARD,3.0,3,,,17.6,17.2,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,27,15,98.422,HARD,4.0,3,,,17.5,17.1,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,28,15,98.655,HARD,5.0,3,,,17.6,17.0,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,29,14,98.034,HARD,6.0,3,,,17.5,17.1,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,30,14,97.818,HARD,7.0,3,,,17.5,17.1,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,31,14,98.053,HARD,8.0,3,,,17.5,17.0,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,32,14,97.531,HARD,9.0,3,,,17.4,17.0,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,33,13,97.634,HARD,10.0,3,,,17.3,17.0,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,34,13,97.932,HARD,11.0,3,,,17.3,17.0,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,35,12,97.883,HARD,12.0,3,,,17.3,16.9,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,36,11,98.853,HARD,13.0,3,,,17.4,17.0,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,37,10,97.82,HARD,14.0,3,,,17.3,16.9,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,38,10,97.565,HARD,15.0,3,,,17.3,16.8,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,39,10,96.553,HARD,16.0,3,,,17.3,16.8,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,40,10,97.174,HARD,17.0,3,,,17.2,16.8,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,41,10,97.681,HARD,18.0,3,,,17.3,16.8,False,True,
LAS24,2024,Las Vegas Grand Prix,Las Vegas,ALO,Aston Martin,42,10,98.078,HARD,19.0,3,,,17.2,16.8,False,True,
