RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,1,16,89.058,MEDIUM,1.0,1,,,22.4,32.1,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,2,15,79.365,MEDIUM,2.0,1,,,22.3,31.9,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,3,15,78.238,MEDIUM,3.0,1,,,22.4,32.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,4,15,78.214,MEDIUM,4.0,1,,,22.4,32.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,5,15,78.084,MEDIUM,5.0,1,,,22.4,32.5,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,6,15,78.23,MEDIUM,6.0,1,,,22.4,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,7,15,78.279,MEDIUM,7.0,1,,,22.5,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,8,15,78.575,MEDIUM,8.0,1,,,22.5,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,9,15,78.41,MEDIUM,9.0,1,,,22.5,33.1,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,10,15,78.585,MEDIUM,10.0,1,,,22.5,33.6,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,11,14,79.023,MEDIUM,11.0,1,,,22.4,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,12,13,78.849,MEDIUM,12.0,1,,,22.4,33.1,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,13,12,78.095,MEDIUM,13.0,1,,,22.4,33.0,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,14,10,77.978,MEDIUM,14.0,1,,,22.5,33.0,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,15,9,78.232,MEDIUM,15.0,1,,,22.5,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,16,9,78.109,MEDIUM,16.0,1,,,22.4,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,17,8,78.21,MEDIUM,17.0,1,,,22.5,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,18,7,78.194,MEDIUM,18.0,1,,,22.6,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,19,6,77.993,MEDIUM,19.0,1,,,22.6,33.3,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,20,7,79.308,MEDIUM,20.0,1,,,22.5,32.9,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,21,9,81.291,MEDIUM,21.0,1,,,22.6,32.6,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,22,16,95.909,MEDIUM,1.0,2,,,22.5,32.8,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,23,16,77.427,MEDIUM,2.0,2,,,22.5,32.8,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,24,16,77.315,MEDIUM,3.0,2,,,22.5,32.8,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,25,16,77.454,MEDIUM,4.0,2,,,22.7,32.8,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,26,16,77.438,MEDIUM,5.0,2,,,22.6,32.8,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,27,16,77.644,MEDIUM,6.0,2,,,22.6,32.9,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,28,16,77.533,MEDIUM,7.0,2,,,22.7,33.6,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,29,16,77.456,MEDIUM,8.0,2,,,22.7,33.5,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,30,16,77.368,MEDIUM,9.0,2,,,22.7,33.0,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,31,16,78.04,MEDIUM,10.0,2,,,22.8,33.3,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,32,16,77.868,MEDIUM,11.0,2,,,22.8,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,33,14,77.693,MEDIUM,12.0,2,,,22.7,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,34,13,77.451,MEDIUM,13.0,2,,,22.7,33.0,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,35,13,77.178,MEDIUM,14.0,2,,,22.7,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,36,13,77.272,MEDIUM,15.0,2,,,22.6,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,37,13,77.225,MEDIUM,16.0,2,,,22.6,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,38,12,77.157,MEDIUM,17.0,2,,,22.5,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,39,12,77.235,MEDIUM,18.0,2,,,22.6,33.7,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,40,12,77.187,MEDIUM,19.0,2,,,22.8,33.6,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,41,12,77.061,MEDIUM,20.0,2,,,22.8,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,42,12,80.291,MEDIUM,21.0,2,,,22.7,33.3,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,43,12,96.277,HARD,1.0,3,,,22.8,33.1,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,44,12,76.592,HARD,2.0,3,,,22.7,33.1,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,45,12,76.318,HARD,3.0,3,,,22.8,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,46,12,76.269,HARD,4.0,3,,,22.8,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,47,12,105.813,HARD,5.0,3,,,22.7,33.3,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,48,12,103.395,HARD,6.0,3,,,22.8,33.1,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,49,12,81.066,HARD,7.0,3,,,22.9,32.9,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,50,12,76.109,HARD,8.0,3,,,22.8,32.6,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,51,12,77.3,HARD,9.0,3,,,22.8,32.6,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,52,12,77.661,HARD,10.0,3,,,22.6,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,53,12,75.768,HARD,11.0,3,,,22.6,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,54,12,75.784,HARD,12.0,3,,,22.6,33.5,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,55,12,93.432,HARD,13.0,3,,,22.6,33.2,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,56,12,129.526,SOFT,1.0,4,,,22.6,33.8,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,57,12,137.338,SOFT,2.0,5,,,22.8,33.7,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,58,12,92.025,SOFT,3.0,5,,,22.8,33.4,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,59,12,77.549,SOFT,4.0,5,,,22.8,32.9,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,60,12,83.248,SOFT,5.0,5,,,22.7,33.6,False,True,
NED22,2022,Dutch Grand Prix,Zandvoort,ALB,Williams,61,12,76.774,SOFT,6.0,5,,,22.8,34.0,False,True,
