RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,1,11,124.413,MEDIUM,1.0,1,,,31.5,37.4,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,2,11,144.139,MEDIUM,2.0,1,,,31.5,37.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,3,10,143.55,MEDIUM,3.0,1,,,31.5,37.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,4,10,145.619,MEDIUM,4.0,1,,,31.5,37.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,5,10,93.057,MEDIUM,5.0,1,,,31.5,37.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,6,10,92.71,MEDIUM,6.0,1,,,31.5,37.2,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,7,10,90.726,MEDIUM,7.0,1,,,31.5,37.4,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,8,10,90.614,MEDIUM,8.0,1,,,31.5,36.8,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,9,9,91.05,MEDIUM,9.0,1,,,31.5,36.8,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,10,9,90.245,MEDIUM,10.0,1,,,31.5,36.9,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,11,8,90.521,MEDIUM,11.0,1,,,31.4,37.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,12,7,91.693,MEDIUM,12.0,1,,,31.5,36.9,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,13,4,90.652,MEDIUM,13.0,1,,,31.4,37.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,14,3,89.635,MEDIUM,14.0,1,,,31.5,36.8,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,15,2,89.407,MEDIUM,15.0,1,,,31.4,36.7,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,16,2,89.001,MEDIUM,16.0,1,,,31.4,36.9,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,17,2,88.944,MEDIUM,17.0,1,,,31.4,36.4,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,18,2,93.029,MEDIUM,18.0,1,,0 days 01:32:58.907000,31.3,36.8,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,19,14,114.278,MEDIUM,1.0,2,0 days 01:33:28.219000,,31.3,36.8,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,20,15,90.166,MEDIUM,2.0,2,,,31.3,36.7,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,21,13,89.204,MEDIUM,3.0,2,,,31.2,36.5,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,22,10,90.046,MEDIUM,4.0,2,,,31.2,36.5,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,23,10,89.061,MEDIUM,5.0,2,,,31.2,36.7,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,24,10,88.305,MEDIUM,6.0,2,,,31.2,36.7,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,25,10,88.358,MEDIUM,7.0,2,,,31.2,36.5,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,26,7,88.502,MEDIUM,8.0,2,,,31.3,37.1,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,27,5,88.251,MEDIUM,9.0,2,,,31.3,36.8,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,28,4,88.463,MEDIUM,10.0,2,,,31.3,37.1,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,29,5,89.649,MEDIUM,11.0,2,,,31.3,36.9,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,30,5,88.326,MEDIUM,12.0,2,,,31.4,37.2,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,31,6,92.175,MEDIUM,13.0,2,,0 days 01:52:43.706000,31.4,37.2,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,32,15,113.955,HARD,1.0,3,0 days 01:53:12.440000,,31.4,36.5,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,33,15,87.93,HARD,2.0,3,,,31.4,36.6,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,34,15,88.447,HARD,3.0,3,,,31.3,36.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,35,14,87.658,HARD,4.0,3,,,31.3,36.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,36,13,87.255,HARD,5.0,3,,,31.2,36.1,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,37,13,87.29,HARD,6.0,3,,,31.2,36.2,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,38,13,87.61,HARD,7.0,3,,,31.2,36.3,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,39,12,87.409,HARD,8.0,3,,,31.2,36.1,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,40,10,86.959,HARD,9.0,3,,,31.2,36.1,False,True,
QAT23,2023,Qatar Grand Prix,Lusail,ALB,Williams,41,10,87.245,HARD,10.0,3,,,31.2,36.1,False,True,
