RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,1,15,110.771,MEDIUM,1.0,1,,,30.8,37.3,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,2,15,100.75,MEDIUM,2.0,1,,,30.8,37.4,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,3,15,99.762,MEDIUM,3.0,1,,,30.9,37.4,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,4,15,99.285,MEDIUM,4.0,1,,,31.1,37.0,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,5,15,99.252,MEDIUM,5.0,1,,,31.1,36.8,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,6,15,99.267,MEDIUM,6.0,1,,,31.1,36.5,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,7,15,99.039,MEDIUM,7.0,1,,,31.1,36.5,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,8,15,99.316,MEDIUM,8.0,1,,,31.1,37.0,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,9,15,99.767,MEDIUM,9.0,1,,,31.1,37.1,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,10,15,99.896,MEDIUM,10.0,1,,,31.1,36.9,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,11,17,106.666,MEDIUM,11.0,1,,,31.1,36.8,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,12,19,118.026,HARD,1.0,2,,,31.1,36.3,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,13,19,96.888,HARD,2.0,2,,,31.1,36.3,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,14,19,98.74,HARD,3.0,2,,,31.2,36.4,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALB,Williams,15,20,133.278,HARD,4.0,2,,,31.1,36.0,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,1,7,106.384,MEDIUM,2.0,1,,,30.8,37.3,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,2,7,99.584,MEDIUM,3.0,1,,,30.8,37.4,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,3,7,99.286,MEDIUM,4.0,1,,,30.9,37.4,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,4,7,99.395,MEDIUM,5.0,1,,,31.1,37.0,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,5,7,99.036,MEDIUM,6.0,1,,,31.1,36.8,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,6,7,98.795,MEDIUM,7.0,1,,,31.1,36.5,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,7,7,98.72,MEDIUM,8.0,1,,,31.1,36.5,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,8,7,98.542,MEDIUM,9.0,1,,,31.1,37.0,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,9,7,98.644,MEDIUM,10.0,1,,,31.1,37.1,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,10,7,98.765,MEDIUM,11.0,1,,,31.1,36.9,False,True,
SIN24,2024,Singapore Grand Prix,Marina Bay,ALO,Aston Martin,11,7,98.666,MEDIUM,12.0,1,,,31.1,36.8,False,True,
