RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
USA25,2025,United States Grand Prix,Austin,ALB,Williams,1,20,116.94,HARD,1.0,1,,,28.2,45.6,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,2,20,102.558,HARD,2.0,1,,,28.1,45.1,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,3,20,101.723,HARD,3.0,1,,,28.4,45.5,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,4,20,101.904,HARD,4.0,1,,,28.5,45.4,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,5,20,101.899,HARD,5.0,1,,,28.7,45.9,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,6,18,101.919,HARD,6.0,1,,,28.8,45.9,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,7,17,130.241,HARD,7.0,1,,0 days 01:09:20.832000,28.7,45.5,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,8,19,140.221,MEDIUM,1.0,2,0 days 01:09:44.599000,,28.7,46.0,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,9,19,99.343,MEDIUM,2.0,2,,,28.5,45.8,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,10,19,99.569,MEDIUM,3.0,2,,,28.5,46.0,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,11,19,100.05,MEDIUM,4.0,2,,,28.5,46.0,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,12,19,100.001,MEDIUM,5.0,2,,,28.6,46.2,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,13,19,100.398,MEDIUM,6.0,2,,,28.8,46.2,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,14,19,100.683,MEDIUM,7.0,2,,,28.7,46.1,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,15,18,100.56,MEDIUM,8.0,2,,,28.6,46.1,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,16,18,100.901,MEDIUM,9.0,2,,,28.7,45.9,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,17,18,101.595,MEDIUM,10.0,2,,,28.6,46.0,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,18,18,101.877,MEDIUM,11.0,2,,,28.7,45.8,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,19,18,101.773,MEDIUM,12.0,2,,,28.9,45.8,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,20,18,101.369,MEDIUM,13.0,2,,,28.8,46.0,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,21,18,101.608,MEDIUM,14.0,2,,,28.9,46.3,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,22,17,101.328,MEDIUM,15.0,2,,,28.9,46.2,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,23,17,100.601,MEDIUM,16.0,2,,,28.9,46.1,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,24,16,100.891,MEDIUM,17.0,2,,,28.9,45.9,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,25,16,100.678,MEDIUM,18.0,2,,,28.9,45.8,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,26,15,101.066,MEDIUM,19.0,2,,,28.8,45.7,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,27,15,100.435,MEDIUM,20.0,2,,,28.6,45.6,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,28,14,100.263,MEDIUM,21.0,2,,,28.6,45.4,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,29,13,100.167,MEDIUM,22.0,2,,,28.5,45.4,False,True,
USA25,2025,United States Grand Prix,Austin,ALB,Williams,30,13,100.086,MEDIUM,23.0,2,,,28.6,45.8,False,True,
